REG_ID_ENR,OTHER_INSTITUTION_AUTRE
499077,comptroller general
499085,CLIMATE CHANGE SECRETARIAT
499096,Canadian Border Services Agency
499096,Canada Customs and Revenue Agency
499100,Regional Development
499100,Pacific Gateway
499101,Regional Development
499101,Pacific Gateway
499102,Regional Development
488591,NATIONAL LIBRARIES AND NATIONAL ARCHIVES
488628,MEMBERS OF PARLIAMENT
488630,SENATORS
488630,MEMBERS OF PARLIAMENT
488630,PARLIAMENTARY COMMITTEES ON FINANCE
488634,CMHC & MP'S
488646,HISTORIC SITES AND MONUMENTS BOARD OF CANADA
488654,PRIME MINISTERS' OFFICE
488655,MEMBERS OF HOUSE OF COMMONS AND SENATE
488694,"CANADA CUSTOMS AND REVENUE AGENCY, MP'S"
488700,MEMBERS OF PARLIAMENT
488701,DEPUTY PRIME MINISTER'S OFFICE
488707,BUREAU OF COMPETITION POLICY
488707,OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS (OSFI)
488711,CANADA PORTS CORPORATION
488728,OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS (OSFI)
488748,PRIME MINISTERS' OFFICE
488750,BUREAU DU CANADA POUR LE MILLÉNAIRE
488751,DIVELOPPEMENT ICONOMIQUE CANADA
488752,OFFICE OF THE DEPUTY PRIME MINISTER
488755,SENATORS
488755,PARLIAMENTARY COMMITTEES ON FINANCE
488755,MEMBERS OF PARLIAMENT
488769,MEMBERS OF PARLIAMENT
488779,CANADIAN TRANSPORTATION ACT REVIEW PANEL
488780,HOMELESSNESS SECRETARIAT
488780,MINISTRY OF LABOUR
488780,MINISTER OF STATE FOR MULTICULTIRALISM
488802,EXPORT DEVELOPMENT CORPORATION
488802,OFFICE OF THE PRIME MINISTER (PMO)
488808,OFFICE OF THE DEPUTY PRIME MINISTER
488808,null
488821,SENATE
488834,PRIME MINISTERS'S OFFICE
488840,PMO
488847,CANADIAN EMBASSY IN WASHINGTON
488855,"QUEBEC MINISTERS, PRIME MINISTER'S OFFICE."
488907,EDC
488919,OFFICE OF THE SUPERINTENDANT OF FINANCIAL INSTITUTIONS
488932,GOVERNMENT AND OPPOSITION MPS
488945,NATIONAL TRANSPORTATION AGENCY
488946,BUSINESS DEVELOPMENT CANADA
488946,EXPORT DEVELOPMENT CORPORATION
488963,OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS
488978,COMMUNICATIONS RESEARCH CENTRE
489016,OFF. OF SUPERINT OF FI
489025,OFFICE OF SUPERINTENDENT OF FI
489030,CANADIAN ENVIROMENTAL ASSESMENT AGENCY
489037,CANADA LANDS COMPANY LIMITED
489041,CANADA FOUNDATON FOR INNOVATION
489041,SCIENCE ADVISORY BOARD
489044,AUDITOR GENERAL OF CANADA
489044,EXPORT DEVELOPMENT CORPORATION
489071,SENATE
489083,OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS
489088,SENATE
489091,LABOUR CANADA
489094,OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTUTITIONS
489094,CANADIAN DEPOSIT & INSURANCE CO.
489095,SOCIETE CANADIENNE DES POSTES
489098,M.P.'S
489110,"OFFICE OF THE HON. ART EGGLETON, PC, MP"
489111,OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS
489111,SENATE
489128,INTERGOVERNMENTAL AFFAIRS
489141,COMMUNICATIONS CANADA
489144,NATIONAL LIBRARIES & ARCHIVES
489187,NATIONAL LIBRARIES & NATIONAL ARCHIVES
489217,M.P.'S
489224,ALL DEPARTMENTS AND AGENCIES AS WELL AS CROWN CORPORATIONS
489229,BUSINESS DEVELOPMENT CANADA
489229,EXPORT DEVELOPMENT CORPORATION
489247,OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS (OSFI)
489279,MEMBERS OF PARLIAMENT
489279,MINISTERS OF PARLIAMENT
489291,MP'S
489292,OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS (OSFI)
489292,BUREAU OF COMPETITION POLICY
489298,CANADA PORTS CORPORATION
489301,OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS (OSFI)
