REG_ID_ENR,OTHER_INSTITUTION_AUTRE
502167,CANADA ECONOMIC DEVELOPMENT FOR THE QUEBEC REGIONS
492124,SENATE
492124,"SENATE, HOUSE OF COMMONS, ANY OTHER THAT DEALS WITH TOBACCO ISSUE"
492127,ONTARIO MINISTRY OF ENVIRONMENT
492127,B.C. MINISTRY OF ENVIRONMENT LANDS & PARKS
492127,"ONTARIO MINISTRY OF ECONOMIC DEVELOPMENT, TRADE ETC."
492127,QUEBEC OFFICE DE LA LANGUE FRANGAISE
492139,BUREAU DU PREMIER MINISTRE
492150,COMMIS. NATION. LIBERATIONS COND
492150,COMMIS. NATION. LIBERATIONS COND
492160,SENATE
492164, INTERPROVINCIAL TRADE COMMITTEE
492164, OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS
492167, INTERPROVINCIAL TRADE COMMITTEE
492167, OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS
492170,COAST GUARD
492171,NATIONAL FORUM ON HEALTH CARE
492171,MEDICAL RESEARCH COUNCIL
492171,IMMIGRATION CANADA
492171,STATUS OF WOMEN SECRETARIAT
492181,PEST MANAGEMENT REGULATORY AGENC
492181,FARM CREDIT CORPORATION
492182,EXPORT DEVELOPMENT CORPORATION
492188,"OFFICE OF THE SUPERINTENDANT OF FINANCIAL INSTITUTTIONS, PRIME MINISTER'S OFFICE, COMPETITION BUREAU"
492192,CANADIAN COUNCIL OF THE MINISTERS OF ENVIRONMENT (CCME)
492194,CANADIAN INSTITUTE OF HEALTH RESEARCH
492194,PRIME MINISTER OFFICE
492194,LABORATORY CENTRE FOR DISEASE CONTROL
492194,MEDICAL RESEARCH COUNCIL
492194,HOUSE OF COMMONS; SENATE
492194,CANADIAN INSTITUTIONS FOR HEALTH RESEARCH
492197, INVESTMENT REVIEW AGENCY
492206,CABINET
492215, CANADA POST
492217,FARM CREDIT CORPORATION
492217,PEST MANAGEMENT REGULATORY AGENC
492222,CANADA PORTS CORPORATION
492222,FEDERAL TREATY NEGOTIATION OFFIC
492225,SENATE
492225,STATUS OF WOMEN
492231, SPORTS CANADA
492243,CANADIAN JUDICIAL COUNCIL
492245, LABOUR CANADA
492253,HOUSE OF COMMONS; SENATE; LABORATORY CENTRE FOR DISEASE CONTROL; PRIME MINISTER OFFICE; CANADIAN INS
492262,EXPORT DEVELOPMENT CORPORATION (EDC)
492263,CORRECTIONAL SERVICE CANADA
492263,STATUS OF WOMEN
492269,CDN CENTRE ON SUBSTANCE ABUSE
492269,SENATE
492279,FINANCE MINISTER'S OFFICE
492287,DEPARTMENT OF INTERNATIONAL TRAD
492291, MEMBERS OF PARLIAMENT
492294,CANADIAN JUDICIAL COUNCIL
492308,"PRIME MINISTER'S OFFICE, PLO"
492309,AUDITOR GENERAL OF CANAD
492309,EXPORT DEVELOPMENT CORPORATION
492321,CANADA POST
492326,OFFICE OF SUPERINTENDENT OF FINANCIAL INSTITUTIONS (OSFI)
492332,CANADIAN ENVIRONMENT ASSESSMENT AGENCY
492332,CLIMATE CHANGE SECRETARIAT
492335,BUREAU DU PREMIER MINISTRE
492337,WOMEN'S PROGRAM
492338,ST. LAWRENCE SEAWAY AUTHORITY
492338,CANADIAN HYDROGRAPHIC SERVICE
492338,CANADA PORTS CORPORATION
492338,CANADIAN GENERAL STANDARDS BOARD
492338,CANADIAN ICE SERVICE
492342,NORTHERN PIPELINE AGENCY
492343,NORTHERN PIPELINE AGENCY
492344,NORTHERN PIPELINE AGENCY
492360,HOUSE OF COMMONS FINANCE COMMITTEE
492365,"BANK OF CANADA,"
492365,OFFICE OF SUPERINTENDANT OF FINANCIAL INSTITUTIONS (OSFI)
492372,OFFICE OF THE SUPERINTENDANT OF FINANCIAL INSTITUTIONS (OSFI)
492378,LABOUR CANADA
492391,CANADIAN INSTITUTE FOR HEALTH RESEARCH
492395,CANADIAN CUSTOMS AND REVENUE AGENCY
492397,LABOUR CANADA
492399,"MEMBERS OF PARLIAMENT, BOTH OPPOSITION AND GOVERNMENT"
492401,CANDIAN WHEAT BOARD
492403,CANADIAN INSTITUTIONS FOR HEALTH RESEARCH
492403,SENATE
492403,MINISTER'S OFFICE
492403,MEDICAL RESEARCH COUNCIL OF CANADA
492405,"PRIME MINISTER'S OFFICE, PARLIAMENT, SENATE, AND STANDING COMMITTEES."
492408,COMMITTEE FOR THE ECONOMIC UNION
492408,INTERGOVERNMENTAL AFFAIRS
492408,OFFICE OF THE PRIME MINISTER
492409, FARM CREDIT CORPORATION
492413,QUEBEC OFFICE DE LA LANGUE FRANGAISE
492413,ONTARIO MINISTRY OF ENVIRONMENT
492413,B.C. MINISTRY OF ENVIRONMENT LANDS & PARKS
492413,"ONTARIO MINISTRY OF ECONOMIC DEVELOPMENT, TRADE ETC."
513926,Office of the Superintendent of Financial Institutions
513927,Office of the Superintendent of Financial Institutions
513928,Office of the Superintendent of Financial Institutions
513929,Office of the Superintendent of Financial Institutions
513930,Office of the Superintendent of Financial Institutions
513931,Office of the Superintendent of Financial Institutions
513932,Office of the Superintendent of Financial Institutions
513933,Office of the Superintendent of Financial Institutions
513967,Agence de la consommation
513976,"NATURAL RESOURCES CANADA, ENERGY SECTOR"
513983,FEDNOR
513984,FEDNOR
513990,Office of the Prime Minister
513995,DEFENCE RESEARCH & DEVELOPMENT CANADA
514000,Canada Council
514000,Canadian Foundation for Innovation
514001,Office of the Superintendent of Financial Institutions
514004,FEDNOR
514016,Canadian Ice Service
514029,E.D.C. (Export Development Canada)
514055,Office of the Superintendent of Financial Institutions
514069,CIHR
514073,CANADIAN BORDER SERVICES AGENCY
514086,FINANCE COMMITTEE OF HOUSE OF COMMONS
514091,North Atlantic Treaty Organization (NATO)
514092,COMMISSION DU DROIT DU CANADA
514092,OFFICE DE LA PROPRIÉTÉ INTELLECTUELLE DU CANADA
514093,Integrated Threat Assessment Centre
514094,Public Safety and Emergency Preparedness
514096,Sustainable Development Technology Canada
514096,Natural Resources Canada - CANMET Energy Technology Centre
514110,OSFI
514113,Canadian Communications group
514119,Scientific Research and Experimental Development Business Group
514126,Rural and Co-operatives Secretariat
514128,Municipal and Provincial Governments
514128,Educational Institutions and Hospital Boards
514131,LABOUR AND HOUSING
514131,HUMAN RESOURCES AND SKILLS DEVELOPMENT
514134,Canadian Deposit Insurance Corporation
514134,Office of the Superintendant of Financial Insititutions
514142,CANADIAN FOOD INPECTION AGENCY
514147,no planned activity at this time
514149,Canadian General Standards Board
514150,Canadian Mortgage and Housing Corporation
514150,Competition Policy Review Panel and Secretariat
514173,CANADA LANDS COMPANY LIMITED
514182,Canadian Institute for Health Research
514182,Canada Millennium Scholarship Foundation
514197,Ongoing Discussions with all Ministries
514206,Canadian Institute of Health Research
514206,Public Health Agency
514206,Institute of Infection and Immunity
514207,Institute of Health Services and Policy Research (IHSPR)
514217,Employment Insurance Commission
514231,Transport Committee
514279,PUBLIC SAFETY & EMERCENCY PREPAREDNESS CANADA
514306,International Trade
514329,Office of the Minister of Health
514330,Heritage Canada
514336,Office of the Superintendent of Financial Institutions
514336,Ombudsman for Banking Services & Investments (OBSI)
514336,Office of the Privacy Commissioner (OPCC)
514338,CANADA ECONOMIC DEVELOPMENT FOR THE QUEBEC REGIONS
514340,Aboriginal Skills and Employment Partnership (ASEP)
514341,Office of the Prime Minister
514367,FEDNOR
514368,FEDNOR
514371,Members of Parliament
514372,Canada Food Inspection Agency
514377,Labour Canada
514379,MP's and the Office of Emergency Preparedness and Public Safety
514380,MP's & the Office of Emergency Preparedness and Public Safety
514389,Canadian Border Services Agency
514403,Northern Ontario Development Program
514404,Northern Ontario Development Program
514412,"CANADIAN DAIRY COMMISSION, CANADIAN WHEAT BOARD"
514413,Office of the Superindent of Financial Institutions (OSFI)
514414,Coast Guard
514414,Labour Canada
514414,Public Safety & Emergency Preparedness
514416,Surintendant des institutions financières
502174,Federal Provincial Territorial Radiation Protection Committee
502186,Office of the Superintendent of Financial Institutions
502196,PSEPC
502207,Office of the Superintendent of Financial Institutions
502208,Office of the Superintendent of Financial Institutions
502227,Office of the Superintendent of Financial Institutions
502246,Members of Parliament
502263,"SOCIAL DEVELOPMENT CANADA, HOUSE OF COMMONS COMMITTEES, SENATE COMMITTEES"
502284,Office of the Superintendent of Financial Institutions
502284,Financial Consumers Agency of Canada
502287,AFRICA COMMISSION
502287,ALL MPS
502287,CANADIAN INSTITUTE FOR HEALTH RESEARCH
502290,Office of the Chief Actuary of Canada
502290,Treasury Board Secretariat of Canada
502291,Public Safety
502292,Office of the Auditor General
502292,PMO
502292,Senate (Senators)
502297,CANADA BORDER SECUIRITY AGENCY
502297,CANADIAN SECURITY ESTABLISHMENT
502297,PUBLIC SAFETY EMERGENCY PREPAREDNESS CANADA
502299,PUBLIC SAFETY EMERGENCY PREPAREDNESS CANADA
502300,CANADA BORDER SECURITY AGENCY
502300,PUBLIC SAFETY & EMERCENCY PREPAREDNESS CANADA
502303,Office of Consumer Affairs
502304,Office of Consumer Affairs
502307,Members of the Senate
502307,Ministers
502307,Ministerial Staff
502307,Senate Staff
502307,Committee Staff
502312,OSFI
502318,FedNor
502319,Parliament of Canada
502322,Office of the Superintendant of Financial Institutions
502325,Parliament of Canada
502326,Office of the Superintendent of Financial Institutions
502327,Office of the Superintendent of Financial Institutions
502327,Bureau of Competition Policy
502328,MPs
502328,Senators
502329,Office of the Superintendent of Financial Institutions
502332,Sport
502332,MPs
502332,Cabinet Members
502333,Parliament of Canada
502335,MPs
502335,Senators
502336,Parliament of Canada
502337,Parliament of Canada
502338,Minister responsible for the Canadian Wheat Board
502342,Office of the Superintendent of Financial Institutions
502347,Infrastructure
502347,Parks
502349,CEAA
502353,Parliament of Canada
502358,"Parliament of Canada (House of Commons, Senate)"
502360,Senators
502361,Office of the Superintendent of Financial Institutions
502366,Office of the Superintendent of Financial Institutions
502367,Office of the Superintendent of Financial Institutions
502368,Office of the Superintendent of Financial Institutions
502369,Office of the Superintendent of Financial services
502370,Office of the Superintendent of Financial Institutions
502370,Bureau of Competition Policy
502371,Office of the Superintendent of Financial Institutions
502380,Senators
502381,Office of the Superintendent of Financial Institutions
502384,Parliament of Canada
502387,Office of the Superintendant of Financial Institutions
502390,CEAA
502400,Auditor General
502400,Canada-Nova Scotia Offshore Petroleum Board
502400,Climate Change Secretariat
502400,Public Safety & Emergency Preparedness
502406,Canadian Institute for Health Information
502406,The Senate of Canada
502406,Intergouvernmental Affairs
502406,Canada Health Infoway
502406,Canadian Health Council
502406,Canadian Patient Safety Institute
502410,Canadian Institute for Health Information
502410,Public Health Agency of Canadaa
502410,The Senate of Canada
502410,Intergovernmental Affairs
502410,Canada Health Infoway
502410,Canadian Health Council
502410,Canadian Patient Safety Institute
502411,Canadian Institute for Health Information
502411,The Senate of Canada
502411,Intergovernmental Affairs
502411,Canada Health Infoway
502411,Canadian Health Council
502411,Canadian Patient Safety Institute
492421, OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS
492421, CANADIAN RETAIL DEBT AGENCY
492430,NATIONAL LIBRARY
492430,SENATE
492430,DEPUTY PRIME-MINISTER'S OFFICE
492432,NATIONAL PAROLE BOARD
492437,SENAT (SENATEURS DU QUEBEC)
492437,SPORT AMATEUR
492440,HOUSE OF COMMONS; SENATE; LABORATORY CENTRE FOR DISEASE CONTROL; PRIME MINISTER OFFICE; CANADIAN INS
492455,PMO
492456,CUSTOMS (CCRA)
492457,CANADIAN COUNCIL OF THE MINISTERS OF ENVIRONMENT (CCME)
492461,CDN. HUMAN RIGHTS COMMISION
492468,MIN. OF INFRASTRUCTURE
492469,MIN. OF INFRASTRUCTURE
492488,NATIONAL LITERACY SECRETARIAT
492498,SENATE
492499,INVESTMENT CANADA
492505,SENATE
492507,SENATE
492512,OFFICE OF THE SUPERINTENDANT OF FINANCIAL INSTITUTIONS (OSFI)
492516,CUSTOMS
492524,OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS (OSFI)
492530,OFFICE DE LA PROPRIÉTÉ INTELLECTUELLE DU CANADA
492532, INVESTMENT REVIEW AGENCY
492533,OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS
492535,EXPORT DEVELOPMENT CORPORATION
492541,CANADIAN JUDICIAL COUNCIL
492542,THE CANADIAN FOOD INSPECTION AGENCY
492542,CANADA CUSTOMS & REVENUE AGENCY
492544,CLIMATE CHANGE SECRETARIAT
492544,SENATE
492547,SECRETARY OF STATE FOR AMATEUR SPORT
492549, CABINET
492550,CANADA FOOD INSPECTION AGENCY
492552,"PRIME MINISTER'S OFFICE, EXPORT DEVELOPMENT CORPORATION"
492554,CANADA ECONOMIC DEVELOPMENT FOR QUEBEC
492554,EXPORT DEVELOPMENT CORPORATION
492555,"AUDITOR GENERAL OF CANADA, NAFTA SECRETARIAT"
492555, EXPORT DEVELOPMENT CORPORATION
492560,PEST MANAGEMENT REVIEW AGENCY
492560,CANADA GRAINS COUNCIL
492561,"AUDITOR GENERAL OF CANADA, NAFTA SECRETARIAT"
492561, EXPORT DEVELOPMENT CORPORATION
492567,NATIONAL PAROLE BOARD
492569,HOUSE OF COMMONS; SENATE; LABORATORY CENTRE FOR DISEASE CONTROL; PRIME MINISTER OFFICE; CANADIAN INS
492570,QUEBEC OFFICE DE LA LANGUE FRANGAISE
492570,ONTARIO MINISTRY OF ENVIRONMENT
492570,B.C. MINISTRY OF ENVIRONMENT LANDS & PARKS
492570,"ONTARIO MINISTRY OF ECONOMIC DEVELOPMENT, TRADE ETC."
492573,CDN. HUMAN RIGHTS COMMISION
492576,STATUS OF WOMEN SECRETARIAT
492576,NATIONAL FORUM ON HEALTH CARE
492576,MEDICAL RESEARCH COUNCIL
492577,CANADA TRANSPORTATION ACT REVIEW PANEL
492578,CANADIAN INSTITUTES FOR HEALTH RESEARCH
492578,CANADIAN INSTITUTE FOR HEALTH INFORMATION
492579,MIN. OF INFRASTRUCTURE
492581, TRIBUNAL DU DROIT D'AUTEUR
492583, CMHC
492584, PRIME MINISTER`S OFFICE
492585, LABOUR CANADA
492592,CIDA
492593,CANADA POST
492595,TRAVAIL-CANADA
492601,MILLENNIUM TASK FORCE
492604,SENATE
492604,MEMBERS OF FEDERAL CABINET
492604,PRIME MINISTERS OFFICE
492607,"CCRA, CIC"
492608,OFFICE DE LA PROPRIÉTÉ INTELLECTUELLE DU CANADA
492614, TOURISME CANADA
492615, SOCIETE CANADIENNE D'HYPOTHEQUES & DE LOGEMENT
492616, EXTERNAL AFFAIRS
492617, CONSUMER & CORPORATE AFFAIRS
492617, CANADA WHEAT BOARD
492618,PRIME MINISTERS OFFICE
492618,MEMBERS OF FEDERAL CABINET
492618,MEMBERS OF THE SENATE
492623,BUREAU OF COMPETITION
492623,OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS
492633, INFORMATION COMMISSIONER OF CANADA
492633, SENATE
492641,SENATE
492644,CANADA TRANSPORTATION ACT REVIEW PANEL
492654,PRIME MINISTERS OFFICE
492654,BUREAU OF COMPETITION
492654,PRIME MINISTERS OFFICE
492654,CMHC
492654,BUREAU OF COMPETITION
492654,CMHC
492658,CANADA CUSTOMS AND REVENUE AGENCY
492663,HOUSE OF COMMONS FINANCE COMMITTEE
492666,NATIONAL TRANSPORTATION AGENCY
492667,LABOUR CANADA
492669,MIN. OF INFRASTRUCTURE
492671, PRIME MINISTER`S OFFICE
492675,NORTHERN PIPELINE AGENCY
492686,SENATE
492686,MEMBERS OF FEDERAL CABINET
502412,Canadian Institute for Health Information
502412,The Senate of Canada
502412,Intergovernmental Affairs
502412,Canada Health Infoway
502412,Canadian Health Council
502412,Canadian Patient Safety Institute
502414,OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS (OSFI)
502414,OFFICE OF THE PRIVACY COMMISSIONER (OPC)
502414,CANADA INVESTMENT AND SAVINGS
502414,OFFICE OF THE SUPERINTENDENT OF BANKRUPTCY OF CANADA
502414,ROYAL CANADIAN MINT
502414,"HUMAN RESOURCES AND SOCIAL DEVELOPMENT CANADA - EMPLOYMENT INSURANCE, CANADA EDUCATION SAVINGS PROGRAM"
502414,CANADA STUDENT LOANS PROGRAM. CANADA PENSION PLAN AND OLD AGE SECURITY
502417,Canada-Newfoundland Labrador Offshore Petroleum Board
502417,Immigration Canada
502417,Canada-Nova Scotia Offshore Petroleum Board
502440,Office of the Superintendent of Financial Institutions
502441,Canada Customs and Revenue Agency
502442,Office of the Superintendent of Financial Institutions
502457,Weights and Measures Canada
502475,Senate (Senators)
502476,Senate (Senators)
502477,Senate (Senators)
502479,Senate (Senators)
502482,Pilotage Authorities
502483,Senate (Senators)
502484,Senate (Senators)
502502,Canadian Institutes for Health Research
502502,Public Health Agency
502521,PUBLIC SAFETY EMERGENCY PREPAREDNESS CANADA
502524,International Trade
502525,International Trade
502528,CANADIAN REGENUE AGENCY
502528,LABOUR CANADA
502528,PUBLIC SAFETY
502528,CANADIAN BORDER SERVICES AGENCY
502534,Social Development Canada/Sport Canada
502539,Office of the Superindent of Financial Institutions (OSFI)
502545,Technology Partnership Canada
502545,Investment Review Agency
502564,"Senate, Labratory Centre for Disease Control"
502566,Canadian Institute for Health Information
502566,The Senate of Canada
502566,Intergovernmental Affairs
502566,Canada Health Infoway
502566,Canadian Health Council
502566,Canadian Patient Safety Institute
502569,International Trade Canada
502569,Export Developement Canada
502574,International Trade Canada
502574,Export Developement Canada
502575,International Trade Canada
502578,Canadian Institute for Health Information
502578,The Senate of Canada
502578,Intergovernmental Affairs
502578,Canada Health Infoway
502578,Canadian Health Council
502578,Canadian Patient Safety Institute
502579,PUBLIC SAFETY AND EMERGENCY PREPAREDNESS
502579,LABOUR AND HOUSING
502579,HUMAN RESOURCES AND SKILLS DEVELOPMENT
502579,INTERNATIONAL TRADE
502588,Office of the Superintendent of Financial Institutions
502588,Bureau of Competition
502589,Office of the Superintendent of Financial Institutions
502589,Bureau of Competition
502591,Office of the Superintendent of Financial Institutions
502603,Fednor
502604,Fednor
502615,Senate
502616,SENATORS
502623,Tourism Canada
502623,Sports Canada (Heritage Canada)
502637,Office of the Superintendent of Financial Institutions
502639,PEST MANAGEMENT REGISTRY AGENCY
502640,Canadian Institute for Health Information
502640,The Senate of Canada
502640,Intergovernmental Affairs
502640,Canada Health Infoway
502640,Canadian Health Council
502640,Canadian Patient Safety Institute
502643,Canadian Institute for Health Information
502643,The Senate of Canada
502643,Intergovernmental Affairs
502643,Canada Health Infoway
502643,Canadian Health Council
502643,Canadian Patient Safety Institute
502647,Office of the Superintendent of Financial Institutions
502659,Canadian Wildlife Service
502661,CANADIAN WILDLIFE SERVICE
502662,Membres du Parlement
502665,Coast Guard
502665,PSEPC
502665,CSIS
502666,Canada Foundation for Innovation
502679,Sénateurs
502681,Public Safety and Emergency Preparedness
502681,Services Canada
502681,Aboriginal Affairs
502690,"Office of the Superintendent of Financial Institutions, Bureau of Competition"
502694,"Ad Hoc Cabinet Committee on Sustainability, the Environment Commons Standing Committee on Environment and Sustainable Development, Atlantic Canada Members of Parliament and Prime Minister's Office"
502695,CANADA FOUNDATION FOR INNOVATION
502696,CANADA FOUNDATION FOR INNOVATION
502698,The Senate of Canada
502698,Intergovernmental Affairs
502698,Canada Health Infoway
502698,Canadian Health Council
502698,Canadian Institute for Health Information
502698,Canadian Patient Safety Institute
502699,The Senate of Canada
502699,Intergovernmental Affairs
502699,Canada Health Infoway
502699,Canadian Health Council
502699,Canadian Institute for Health Information
502699,Canadian Patient Safety Institute
502700,The Senate of Canada
502700,Intergovernmental Affairs
502700,Canada Health Infoway
502700,Canadian Health Council
502700,Canadian Institute for Health Information
502700,Canadian Patient Safety Institute
502701,The Senate of Canada
502701,Intergovernmental Affairs
502701,Canada Health Infoway
502701,Canadian Health Council
502701,Canadian Institute for Health Information
502701,Canadian Patient Safety Institute
502705,Office of the Superintendent of Financial Institutions
502705,Financial Consumers Agency of Canada
502709,The Senate of Canada
502709,Intergovernmental Affairs
502709,Canada Health Infoway
502709,Canadian Health Council
502709,Canadian Institute for Health Information
502709,Canadian Patient Safety Institute
502711,The Senate of Canada
502711,Canada Health Infoway
502711,Canadian Institute for Health Information
502711,Canadian Health Council
502711,Intergovernmental Affairs
502711,Canadian Patient Safety Institute
502712,The Senate of Canada
502712,Intergovernmental Affairs
502712,Canada Health Infoway
502712,Canadian Institute for Health Information
502712,Canadian Health Council
502712,Canadian Patient Safety Institute
502713,Office of the Superintendent of Financial Institutions
502713,Canada Mortgage Housing Corporation
502713,Export Development Corporation
502713,Sustainability Development Technology
502714,The Senate of Canada
502714,Intergovernmental Affairs
502714,Canadian Health Council
502714,Canada Health Infoway
502714,Canadian Institute for Health Information
502714,Canadian Patient Safety Institute
502715,The Senate of Canada
502715,Canada Health Infoway
502715,Canadian Health Council
502715,Canadian Institute for Health Information
502715,Intergovernmental Affairs
502715,Canadian Patient Safety Institute
502716,The Senate of Canada
502716,Canadian Health Council
502716,Canada Health Infoway
502716,Intergovernmental Afffairs
502716,Canadian Institute for Health Information
502716,Canadian Patient Safety Institute
502717,The Senate of Canada
502717,Intergovernmental Affairs
502717,Canada Health Infoway
502717,Canadian Health Council
502717,Canadian Institutes for Health Information
502717,Canadian Patient Safety Institute
502718,The Senate of Canada
502718,Intergovernmental Affairs
502718,Canada Health Infoway
502718,Canadian Health Council
502718,Canadian Institute for Health Information
502718,Canadian Patient Safety Institute
502719,The Senate of Canada
502719,Intergovernmental Affairs
502719,Canada Health Infoway
502719,Canadian Health Council
502719,Canadian Institute for Health Information
502719,Canadian Patient Safety Institute
502720,Public Health Agency of Canda
502720,The Senate of Canada
502720,Intergovernmental Affairs
514416,Postes Canada
514439,Office of the Superintendent of Financial Institutions
514439,CDIC
514450,North Atlantic Treaty Organization (NATO)
514451,Canadian Institute for Health Research
514451,Canadian Health Council
514451,Intergovernmental Affairs
514451,Canadian Patient Safety Institute
514451,Canada Health Infoway
514454,Canadian Border Services Agency
514454,Canada Customs and Revenue Agency
514456,Competition Policy Review Panel
514458,Privacy Commissioner
514461,FedNor
514461,Aboriginal Business Canada
514462,Public Safety; Infrastructure Canada
514470,SCHL
514484,Transportation & Infrastructure Canada
514486,Canada Customs and Revenue Agency
514486,Canadian Border Services Agency
514526,Développement économique Canada (DEC)
514528,"Ad Hoc Cabinet Committee on Sustainability, the Environment Commons Standing Committee on Environment and Sustainable Development, Atlantic Canada Members of Parliament and Prime Minister's Office"
514533,Federal Provincial Territorial Radiation Protection Committee
514535,OFFICE OF THE AUDITOR GENERAL
514541,International Trade Canada
514555,Office of the Superintendent of Financial Institutions
514555,Interprovincial Trade
514556,CMHC
514557,CMHC
514561,Rural and Co-operatives Secretariat
514562,International Security Branch
514568,Canada Mortgage & Housing
514568,Canada Post
514573,Canadian Public Health Agency
514573,Canadian Institute of Health Research
514573,Investment Review Agency
514573,Technology Partnership Canada
514580,Fderal Office Regional Development Quebec
514581,Intergovernmental Affairs
514617,Rural and Co-operatives Secretariat
514618,Canadian Institute for Health Research
514618,Canadian Agency for Drugs and Technologies in Health (CADTH)
514618,Canadian Expert Drug Advisory Committee (CEDAC)
514621,Canadian Economic Development - Quebec
514625,Office of Consumer Affairs
514629,Auditor General
514633,Pest Management Registration Agency
514652,Infrastructure
514652,Parks
514680,"Office of the Superintendent of Financial Institutions, Bureau of Competition"
514683,"Office of the Superintendent of Financial Institutions, Bureau of Competition"
514684,Office of the Superintendent of Financial Institutions
514684,Bureau of Competition
514690,Sustainable Development Technology Canada
514710,AGENCE DE DÉVELOPPEMENT ÉCONOMIQUE DU CANADA POUR LES RÉGIONS DU QUÉBEC (DEC)
514723,Infrastructure and Fed Nor
514724,Canadian Audio-Visual Certification Office (CAVCO)
514725,Defence Research Development Corporation (DRDC)
514727,Canadian Mortgage and Housing Corporation
514729,Postes Canada
514729,Surintendant des institutions financières
514749,CANADIAN INSTITUTIONS FOR HEALTH RESEARCH
514749,SENATE
514749,MINISTER'S OFFICE
514749,GENOME CANADA
514749,CANADIAN FOUNDATION FOR INNOVATION
514749,"HEALTH, FINANCE, INDUSTRY"
514750,LABOUR
514750,CROWN CORPORATIONS
514752,Investment Canada
514758,Atlantic Canada Innovation Fund
514758,Cape Breton Growth Fund
514760,CANADIAN INSTITUTION OF HEALTH RESEARCH
514760,ANY AGENCY THAT DEALS WITH TOBACCO ISSUES
514760,"HOUSE OF COMMONS, SENATE"
514772,Office of the Superintendent of Financial Institutions
514772,Bureau of Competition
514783,Canada Newfoundland and Labrador Offshore Petroleum Board
514783,Canada Nova Scotia Offshore Petroleum Board
514787,Rural and Co-operatives Secretariat
514790,Rural and Co-operatives Secretariat
514821,Food Inspection Agency
514822,OFFICE OF THE CANADIAN AMBASSADOR TO COTE D'IVOIRE
514826,The Canadian Coast Guard
514826,The Department of National Defence Joint Task Force
514832,Communication Security Establishment (CSE)
479814,OFFICE OF THE SUPERINTENDENT OF BANKRUPTCY
479814,NATIONAL ROUNDTABLE ON THE ENVIRONMENT AND THE ECONOMY
479814,OFFICE OF THE AUDITOR GENERAL
479830,MEMBERS OF PARLIAMENT
479841,MEMBERS OF PARLIAMENT
479843,DEPUTY PRIME MINISTER'S OFFICE
479849,null
479854,INVESTMENT CANADA
479878,CANADA POST
479884,LABOUR CANADA
479890,CUSTOMS (CCRA)
479901,NATIONAL PAROLE BOARD
479902,EXPORT DEVELOPMENT BANK
479902,CANADIAN JUDICIAL COUNCIL
479905,OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS AND FINANCIAL ANALYSIS AND REPORTS ANANLYSIS 
479906,CANADA TRANSPORTATION ACT REVIEW PANEL
479910,HOUSE OF COMMONS FINANCE COMMITTEE
479916,OFFICE OF THE SUPERINTENDENT OF FINANCIAL INSTITUTIONS
479916,BUREAU OF COMPETITION
479923,LABOUR CANADA
479927,HOUSE OF COMMONS; SENATE; LABORATORY CENTRE FOR DISEASE CONTROL; PRIME MINISTER OFFICE; CANADIAN INS
479931,ONTARIO MINISTRY OF ENVIRONMENT
479931,QUEBEC OFFICE DE LA LANGUE FRANGAISE
479931,"ONTARIO MINISTRY OF ECONOMIC DEVELOPMENT, TRADE ETC."
479931,B.C. MINISTRY OF ENVIRONMENT LANDS & PARKS
479933,CANADIAN FOOD INPECTION AGENCY
479934,CANADIAN COUNCIL OF THE MINISTERS OF ENVIRONMENT (CCME)
479939,CCRA
479939,INFRASTRUCTURE AND CITIES
479939,PUBLIC SAFETY AND EMERGENCY PREPAREDNESS
479939,LABOUR AND HOUSING
479939,HUMAN RESOURCES AND SKILLS DEVELOPMENT
479941,SENATE
479947,CIDA
479953,MEDICAL RESEARCH COUNCIL
479958,LABOUR CANADA
479959,MILLENNIUM SCHOLARSHIP FOUNDATION
479959,NATURAL SCIENCES AND ENGINEERING RESEARCH COUNCIL OF CANADA
479959,CANADIAN INSTITUTE FOR HEALTH RESEARCH
479966,SENATE
479966,OFFICE OF THE SUPT OF FINANCIAL INSTITUTIONS
479966,BUREAU OF COMPETITION POL.
479967,OFFICE OF THE SUPT. OF FINANCIAL INSTITUTIONS
479967,SENATE
479967,BUREAU OF COMPETITION POL.
479976,FOREIGN AFFAIRS AND INTERNATIONAL TRADE
479989,GENOME CANADA
479996,FIANCIAL INSTITUTIONS
479996,NATIONAL DEFENSE
479996,CASTA
479997,PRIME MINISTER'S OFFICER
479998,CUSTOMS
480012,MEMBERS OF PARLIAMENT
480016,MEMBERS OF PARLIAMENT
480018,MEMBERS OF PARLIAMENT
480023,MEMBERS OF PARLIAMENT
480024,Members of Parliament
480033,PUBLIC SAFETY & EMERGENCY PREPAREDNESS CANADA
480034,PUBLIC SAFETY & EMERGENCY PREPAREDNESS CANADA
480049,CCSA
480055,SENATE
