,name1,name2,status,business_number,corp_number
198,METRO MONTREAL COMMUNICATIONS INC.,COMMUNICATIONS METRO MONTREAL INC., Active, 103652848RC0001, 3081117
199,DEVELOPPEMENT METRO-MONTREAL CORPORATION,METRO-MONTREAL DEVELOPMENT CORPORATION, Active, 101368686RC0001, 0469556
200,Metro Green Logistics Inc.,Metro Logistique Verte Inc., Active, 769750514RC0001, 10627542
201,METRO SUPPLY CHAIN INC.,CHAÎNE D'APPROVISIONNEMENT METRO INC., Active, 136480472RC0010, 10085529
202,METRO CANADA HOLDINGS INC.,LES PLACEMENTS METRO CANADA INC., Active, 723187126RC0001, 10149004
203,METRO QUÉBEC IMMOBILIER INC.,METRO QUÉBEC REAL ESTATE INC., Active, 844578658RC0001, 7254911
204,Metro Épicerie en ligne inc.,Metro Online Grocery Store Inc., Active, 792550949RC0001, 11172182
205,METRO SUPPLY CHAIN (MTH) INC.,CHAÎNE D'APPROVISIONNEMENT METRO (MTH) INC., Active, 822073011RC0003, 12374609
206,METRO SUPPLY CHAIN GROUP INC.,GROUPE DE CHAÎNE D'APPROVISIONNEMENT METRO INC., Active, 832551873, 11657062
207,Metro81 Inc.,, Active, 834870727RC0001, 6655831
208,METRO AUTO CARES INC.,, Active, 819193632RC0001, 8781010
209,LES CARREAUX METRO INC.,, Active, 103084604RC0001, 1537253
210,Metro Zen Holdings Corp.,, Active, 819451394RC0001, 9153241
211,Green Metro Group Corp.,, Active, 723983870RC0001, 12197472
212,METRO CORPORATE SECURITY INC.,, Active, 851511667RC0001, 7225725
213,DOWNSVIEW METRO DEVCO INC.,, Active, 725747919RC0001, 11084941
214,Metro-Pro Electric Inc.,, Active, 791049505RC0001, 13138402
215,Metro Franchising Inc.,, Active, 815525787RC0001, 9155899
216,WESTERN METRO GLASS INC.,, Active, 848730263RC0001, 7237561
217,MTY Food Group Inc.,Groupe d'Alimentation MTY Inc., Active, 135130490RC0001, 3790223
218,New Gold Royalty Inc.,, Active, 856935614RC0001, 6799434
219,NORTHLAND POWER QUÉBEC GP INC.,, Active, 830005922RC0001, 6678785
220,Nutrien Ltd.,, Active, 710477720RC0001, 10263664
221,Nutrien Ag Solutions (Canada) Inc.,, Active, 812453496RC0001, 7151241
222,NUVEI CORPORATION,CORPORATION NUVEI, Active, 796137883RC0002, 12350041
223,NUVEI TECHNOLOGIES CORP.,, Active, 866237746RC0006, 10590177
224,ONEX ACADEMY INC.,, Active, 771096872RC0001, 11631390
225,ONEX ILAC EI LIMITED,, Active, 782769871RC0001, 11504711
226,Onex Walter EI Limited,, Active, 736862087RC0001, 10979830
227,Onex ILAC EI II Limited,, Active, 781980735RC0001, 11504720
228,Onex Walter EI II Limited,, Active, 736861683RC0001, 10979872
229,ONEX CAPITAL V CARRYCO (A) INC.,, Active, 740656731RC0001, 11966324
230,ONEX CAPITAL V CARRYCO (B) INC.,, Active, 740656939RC0001, 11966316
231,ONEX CAPITAL V CARRYCO (I) INC.,, Active, 740664131RC0001, 11966227
232,ONEX CAPITAL V CARRYCO (F) INC.,, Active, 740663737RC0001, 11966260
233,ONEX CAPITAL V CARRYCO (H) INC.,, Active, 741061071RC0001, 11966235
234,ONEX CAPITAL V CARRYCO (L) INC.,, Active, 765556543RC0001, 12934388
235,ONEX CAPITAL V CARRYCO (O) INC.,, Active, 764438669RC0001, 12934426
236,ONEX CAPITAL V CARRYCO (M) INC.,, Active, 765555545RC0001, 12934396
237,ONEX CAPITAL V CARRYCO (N) INC.,, Active, 764448064RC0001, 12934418
238,ONEX CAPITAL V CARRYCO (C) INC.,, Active, 741053276RC0001, 11966308
239,ONEX CAPITAL V CARRYCO (J) INC.,, Active, 741061279RC0001, 11966162
240,ONEX CAPITAL V CARRYCO (E) INC.,, Active, 741053672RC0001, 11966286
241,ONEX CAPITAL V CARRYCO (G) INC.,, Active, 740663935RC0001, 11966243
242,ONEX CAPITAL V CARRYCO (D) INC.,, Active, 740657135RC0001, 11966294
243,ONEX CAPITAL V CARRYCO (K) INC.,, Active, 765556949RC0001, 12934353
244,Open Text Canada Ltd.,, Active, 810213454RC0001, 7560737
245,Open Text Corporation,, Active, 853529626RC0008, 10836044
246,Organigram Holdings Inc.,, Active, 804424059RC0001, 9699813
247,Neighbourlink Parkland,, Active, 884452129RC0001, 3690334
248,Muslim Association of Parkland,, Active, 793213315RC0001, 10410454
249,Parkland Canada Incorporated,, Active, 773224134RC0001, 11480197
250,Parkland Auto Group inc.,, Active, 822369781RC0001, 9104445
251,PARKLAND VALDEC INC.,, Active, 134873074RC0001, 2902346
252,PARKLAND PERFORMING ARTS SUPPORT SOCIETY,, Active, 795791672RC0001, 11375814
253,Greater Parkland Regional Chamber of Commerce,, Active, 108034141RC0001, 0012424
254,POWER CORPORATION OF CANADA,POWER CORPORATION DU CANADA, Active, 104279286RC0001, 0134881
255,Premium Brands Holdings Corporation,, Active, 142658889RC0003, 4417852
256,Premium Brands Holdings GP Inc.,, Active, 838270270RC0001, 6397921
257,FONDS QUÉBECOR,QUEBECOR FUND, Active, 870080546RC0001, 3631397
258,RÉSEAU QUÉBECOR MÉDIA INC.,QUEBECOR MEDIA NETWORK INC., Active, 137371852RC0001, 2906180
259,IMPRIMERIE QUÉBECOR MÉDIA (2015) INC.,QUEBECOR MEDIA PRINTING (2015) INC., Active, 802979849RC0001, 8925038
260,QUÉBECOR SPORTS ET DIVERTISSEMENT INC.,, Active, 828058990RC0001, 9090720
261,REAL MATTERS INC.,, Active, 847106879RC0001, 4265408
262,Restaurant Brands International Inc.,, Active, 840729990RC0001, 9060669
263,RITCHIE BROS. AUCTIONEERS INCORPORATED,, Active, 869985960RC0001, 3444015
264,RITCHIE BROS. AUCTIONEERS (CANADA) LTD.,LES ENCANS RITCHIE BROS. (CANADA) LTÉE, Active, 877559278RC0001, 3399443
265,Rogers Communications Canada Inc.,, Active, 815781448RC0006, 13602532
266,RUSSEL METALS INC.,MÉTAUX RUSSEL INC., Active, 121687776RC0002, 3989852
267,SAPUTO FOODS LIMITED,ALIMENTS SAPUTO LIMITÉE, Active, 892146945RC0006, 4511166
268,Gestion Luca Saputo Inc.,Luca Saputo Holdings Inc., Active, 792091696RC0001, 9555897
269,SAPUTO INC.,, Active, 134635473RC0001, 2833735
270,Saputo International Inc.,, Active, 743305328RC0001, 9973532
271,Saputo International Services Inc.,, Active, 805032398RC0001, 9251499
272,events by NADIA SAPUTO événements Inc.,, Active, 879766012RC0001, 3879968
273,SEABRIDGE GOLD INC.,, Active, Not Available, 4111320
274,SHOPIFY INC.,, Active, 847871746RC0001, 4261607
275,SHOPIFY STUDIOS HOLDINGS INC.,, Active, 721968915RC0001, 11125885
276,Shopify Quebec Inc.,, Active, 767887607RC0001, 13480640
277,SHOPIFY PAYMENTS (CANADA) INC.,, Active, 808500821RC0001, 7165897
278,SLEEP COUNTRY CANADA HOLDINGS INC.,, Active, 820000768RC0001, 9309926
279,SNC-LAVALIN GROUP INC.,GROUPE SNC-LAVALIN INC., Active, 127983500RC0001, 0590410
280,Spin Master Charming Productions Inc.,, Active, 814652848RC0001, 8499896
281,The Sprott Foundation,, Active, 122988504RC0001, 2415364
282,SPROTT ASIA GP INC.,, Active, 815119508RC0001, 8207143
283,Sprott Business Students' Society,, Active, 741392807RC0001, 0753742
284,Sprott Resource Lending Corp.,, Active, 105523310RC0003, 7748396
285,SPROTT RESOURCE CONSULTING GP INC.,, Active, 847101086RC0001, 7984219
286,STANTEC CONSULTING LTD.,STANTEC EXPERTS-CONSEILS LTÉE, Active, 887251288RC0003, 8685541
287,Stantec Inc.,, Active, 130521958RC0001, 3018784
288,STANTEC ARCHITECTURE LTD.,, Active, 871096566RC0002, 3521435
289,STANTEC CONSULTING INTERNATIONAL LTD.,, Active, 138401864RC0001, 2907151
290,Stelco Holdings Inc.,, Active, 792957284RC0001, 10420069
291,STELLA-JONES INC.,, Active, 135250181RC0004, 9565965
292,Sun Life Financial Investment Services (Canada) Inc.,Placements Financière Sun Life (Canada) inc., Active, 899034631RC0001, 3212327
293,SUN LIFE FINANCIAL DISTRIBUTORS (CANADA) INC.,DISTRIBUTION FINANCIÈRE SUN LIFE (CANADA) INC., Active, 861215689RC0002, 8366144
294,Sun Life Financial (India) Insurance Investments Inc.,, Active, 865909162RC0001, 3802990
295,Suncor Energy Operating Inc.,, Active, 854238342RC0001, 6268021
296,Suncor Energy Inc.,Suncor Énergie Inc., Active, 104168083RC0003, 10035068
297,SUNCOR ENERGY FOUNDATION,FONDATION SUNCOR ÉNERGIE, Active, 890381882RC0001, 3312879
298,SUNCOR ENERGY ETHANOL INC.,, Active, 104897400RC0001, 0308471
299,SUNCOR ENERGY INTERNATIONAL HOLDINGS INC.,, Active, 873543813RC0001, 3908968
300,SUNOPTA INC.,, Active, 890944432RC0007, 4462254
301,SunOpta Investments Ltd.,, Active, 865986863RC0001, 7599153
302,Superior Plus Corp.,, Active, 121436703RC0001, 2480191
303,Superior Plus Canada Financing Inc.,, Active, 846836484RC0001, 7986009
304,TC Energy Corporation,Corporation TC Énergie, Active, 897657508RC0001, 4148444
305,TC ENERGY GAS DEVELOPMENT LTD.,, Active, 727171100RC0001, 14036166
306,Teck Resources Financial Corp.,, Active, 885902239RC0001, 2786982
307,Teck Resources Limited,Ressources Teck Limitée, Active, 893110981RC0002, 4460561
308,TELUS Health Care Centres Inc.,Cliniques TELUS Santé inc., Active, 103620639RC0007, 10863114
309,TELUS HEALTH SOLUTIONS INC.,TELUS SOLUTIONS EN SANTÉ INC., Active, 824532014RC0001, 4463005
310,TELUS Health Virtual Care Inc.,TELUS Santé Virtuelle Inc., Active, 731025896RC0003, 13632211
311,TELUS Friendly Future Foundation,Fondation TELUS Pour un Futur Meilleur, Active, 887483741RC0001, 3333469
312,The TELUS Fund,, Active, 805673241RC0001, 8488622
313,TELUS Smart Security Inc.,, Active, 817880149RC0001, 6480560
314,TELUS Custom Security Systems Inc.,, Active, 100239227RC0001, 2167522
315,TFI International Inc.,, Active, 811505353RC0001, 4470621
316,The North West Company Inc.,, Active, 895556991RC0007, 7502052
317,THOMSON REUTERS DT TAX AND ACCOUNTING INC.,THOMSON REUTERS DT IMPÔT ET COMPTABILITÉ INC., Active, 103374096RC0003, 8387133
318,TOROMONT INDUSTRIES LTD.,INDUSTRIES TOROMONT LTEE, Active, 892135443RC0001, 3330869
319,TransAlta Corporation,, Active, 134234855RC0002, 4504933
320,TransAlta Generation Ltd.,, Active, 840577027RC0001, 7046995
321,TransAlta (LN) Inc.,, Active, 810314195RC0001, 9226834
322,TransAlta Investments Ltd.,, Active, 843748021RC0001, 7033311
323,TRANSALTA COALDALE WIND INC.,, Active, 710473927RC0001, 10263826
324,TransAlta Cogeneration Ltd.,, Active, 873695779RC0001, 3427153
325,TransAlta Energy Marketing Corp.,, Active, 136571239RC0001, 1871218
326,TransAlta (SC) Inc.,, Active, 806237582RC0001, 9226907
327,TransAlta (RC) Inc.,, Active, 810328997RC0001, 9226923
328,TRANSALTA OCP INC.,, Active, 752776716RC0001, 10790907
329,TransAlta Renewables Inc.,, Active, 812980134RC0002, 11800795
330,TransAlta Power Ltd.,, Active, 873460372RC0001, 3428109
331,TransAlta Renewables Inc.,, Active, 812980134RC0002, 11800795
332,IMPRIMERIES TRANSCONTINENTAL 2007 INC.,TRANSCONTINENTAL PRINTING 2007 INC., Active, 802115154RC0001, 10760722
333,IMPRIMERIES TRANSCONTINENTAL INC.,TRANSCONTINENTAL PRINTING INC., Active, 886606995RC0005, 8069026
334,TRANSCONTINENTAL INTERACTIVE INC.,TRANSCONTINENTAL INTERACTIF INC., Active, 862131596RC0004, 10468673
335,GROUPE DES MÉDIAS TRANSCONTINENTAL DE LA NOUVELLE-ÉCOSSE INC.,TRANSCONTINENTAL NOVA SCOTIA MEDIA GROUP INC., Active, 893993410RC0005, 8307261
336,TRANSCONTINENTAL INC.,, Active, 102212800RC0001, 0282936
337,Transcontinental Cannabis Corp.,, Active, 731746483, 11032984
338,Transcontinental anti-corruption Watch,Sentinelle Transcontinentale anti-corruption, Active, 709734891RC0001, 10276715
339,Transcontinental Building Solutions Inc.,, Active, 771538691RC0001, 9737502
340,TRANSCONTINENTAL FLEXSTAR INC.,, Active, 860871292RC0001, 4246021
341,BADEA TRANSCONTINENTAL CONSULTING (BTCC) INC.,, Active, 770899524RC0001, 9739238
342,Chambre de commerce du Transcontinental,, Active, 894322270RC0001, 0007510
343,TRANSCONTINENTAL MOVING & STORAGE SERVICES INC.,, Active, 819961483RC0001, 8150699
344,WINPAK LTD.,WINPAK LTEE., Active, 105713986RC0002, 4275799
345,WINPAK PORTION PACKAGING LTD.,EMBALLAGES PORTION WINPAK LTEE, Active, 134768431RC0001, 2858827
346,WINPAK HEAT SEAL PACKAGING INC.,LES EMBALLAGES WINPAK HEAT SEAL INC., Active, 895930287RC0001, 3303551
347,GROUPE WSP GLOBAL INC.,WSP GLOBAL INC., Active, 830196036RC0001, 7748388
348,YAMANA GOLD INC.,, Active, 125079871RC0002, 11815792
349,Yamana Gold Quebec Inc.,Société Aurifère Yamana Québec inc., Active, 830342515RC0001, 7780958
