Filing Date,Termination Date,Organization,Client Name,Designated Filer,Government Department Lobbied,Prescribed Provincial Entity Lobbied,Subject Matter of Lobbying,Registration Number,Type of Lobbyist,Lobbyists,Type of Registration,Registration Status,View
2022-10-18,-,New West Public Affairs,Young Men's Christian Association (YMCA) Calgary,Monte Solberg,"Alberta Environment and Parks, Alberta Infrastructure, Alberta Children’s Services, Executive Council, Alberta Jobs, Economy and Innovation, Alberta Indigenous Relations, Alberta Community and Social Services, Alberta Culture and Status of Women, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office",-,Infrastructure,CL-12005-06,Consultant Lobbyist,"Fahreen Budhwani, Gordon Olsen, Sarah Painchaud, Sonia Kont, Keith McLaughlin, Graham Gerein, Michael Solberg, Monte Solberg, Alysha Mohamed",Notice of Change,Archived,View 
2022-10-17,-,Hill+Knowlton Strategies,The Score Media and Gaming,Sheila Wisniewski,"Alberta Jobs, Economy and Innovation, Alberta Treasury Board and Finance, Premier's Office","Alberta Gaming, Liquor and Cannabis Commission",Gaming,CL-12696-03,Consultant Lobbyist,"Natalie Sigalet, Eliza Snider",Notice of Change,Archived,View 
2022-10-17,-,Alberta Counsel,New Star Capital Inc.,Jonathon Wescott,"Alberta Jobs, Economy and Innovation, Executive Council, Alberta Treasury Board and Finance, Premier's Office","Alberta Gaming, Liquor and Cannabis Commission",Gaming,CL-12937-01,Consultant Lobbyist,"James Johnson, Zack Ziolkowski, Aileen Burke, Heather Feldbusch, Aaron Singleton, Sydney McHale, Alexandra Carlile, Shayne Saskiw, Pascal Ryffel, Votham Anastasiadis",Initial Return,Archived,View 
2022-10-17,-,Alberta Counsel,Edmonton Chamber of Voluntary Organizations (ECVO),Jonathon Wescott,"Service Alberta, Alberta Community and Social Services, Alberta Culture and Status of Women, Alberta Legislative Assembly, Premier's Office",-,Social programs,CL-12485-03,Consultant Lobbyist,"Aaron Singleton, Aileen Burke, Zack Ziolkowski, Alexandra Carlile, Votham Anastasiadis, James Johnson, Pascal Ryffel, Shayne Saskiw, Heather Feldbusch, Sydney McHale",Notice of Change,Archived,View 
2022-10-17,-,Alberta Counsel,Alberta Union of Nurse Practitioners,Jonathon Wescott,"Alberta Labour and Immigration, Alberta Health, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office",-,Health,CL-12779-02,Consultant Lobbyist,"Alexandra Carlile, Aaron Singleton, Zack Ziolkowski, James Johnson, Pascal Ryffel, Sydney McHale, Votham Anastasiadis, Aileen Burke, Shayne Saskiw, Heather Feldbusch",Notice of Change,Archived,View 
2022-10-14,-,Canadian Association of Petroleum Producers,-,Lisa Baiton,"Alberta Labour and Immigration, Alberta Environment and Parks, , Alberta Energy, Alberta Municipal Affairs, Alberta Indigenous Relations, Executive Council, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Justice and Solicitor General, Alberta Legislative Assembly, Alberta Transportation, Alberta Treasury Board and Finance, Premier's Office","Alberta Innovates, Workers’ Compensation Board, Alberta Energy Regulator","Energy, Climate, Health, Royalties, Taxes and Finance, Land Use, Justice and Law Enforcement, Environment, Municipal Affairs, Indigenous Relations, Transportation, Economic Development, Wildlife, Labour Relations",OL-10227-57,Organization Lobbyist,"Rob Kopecky, Fauziah Rochman, J.C. Vito, Lisa Baiton, Tricia Donnelly, Paul Hartzheim, Stephen Bresee, David Hume, Tara Payment, Cole Schulz, Don McCrimmon, Markus Ermisch, Amberly Dooley, Claudette Fedoruk, Bryan Remillard, Giles Ody, Brad Herald, Richard Wong, Patrick McDonald, Krista Phillips, Aaron Miller, Jonathan Stringham, Jay Averill, Greig Sproule",Notice of Change,Archived,View 
2022-10-14,-,TC Energy Corporation,-,Francois Poirier,"Alberta Environment and Parks, Alberta Infrastructure, Alberta Energy, Alberta Jobs, Economy and Innovation, Alberta Municipal Affairs, Service Alberta, Executive Council, Alberta Indigenous Relations, Alberta Transportation, Alberta Treasury Board and Finance, Premier's Office","Alberta Utilities Commission, Alberta Innovates, Alberta Energy Regulator, Alberta Electric System Operator, Market Surveillance Administrator","Energy, Procurement, Environment, Municipal Affairs, Indigenous Relations, Wildlife, Transportation",OL-10499-55,Organization Lobbyist,"Wanda Hari, Dave Forestell, Riley Baldwin, Keith Nelson, Michael Schmaltz, Patrick Keys, Robert Tarvydas, Kirk Wasylik, Wendell Klassen, Ana Maria Radu, Mel Garner, Timothy Lam, Stefan Skocylas, Wade Pruett, Greg Grant, Graeme Wright, Lindsay MacKay, Luke Meredith, Julia Jensen, Duane Alexander, Christopher Vivone, Fareen Sunderji, Kristin Anderson, Holly Waldorf, Tisha Homer, Alex Harris, Blaine Trout, Francois Poirier, Mark Thompson, Richard Prior, Jay White, Ken Brink, Jawad Masud, Bevin Wirzba, Joe Zhou, Mark Blundell, Sheldon Good, Patrick Muttart, Ryan Laverty, Corey Hessen, Karla Palardy, Andrew Isherwood, Omar Khayum, Ryan Dunne",Semi-Annual Renewal,Archived,View 
2022-10-14,-,Alberta Counsel,Alberta Paramedic Association,Jonathon Wescott,"Alberta Labour and Immigration, Alberta Health, Alberta Legislative Assembly, Premier's Office, Alberta Advanced Education",Alberta Health Services,Labour Relations,CL-12127-08,Consultant Lobbyist,"Votham Anastasiadis, Sydney McHale, Aileen Burke, Zack Ziolkowski, James Johnson, Pascal Ryffel, Shayne Saskiw, Alexandra Carlile, Aaron Singleton, Heather Feldbusch",Notice of Change,Archived,View 
2022-10-14,-,Alberta Counsel,The Stollery Children's Hospital Foundation,Jonathon Wescott,"Alberta Infrastructure, Alberta Jobs, Economy and Innovation, Alberta Indigenous Relations, Alberta Health, Alberta Legislative Assembly, Alberta Advanced Education, Premier's Office",-,Health,CL-10223-17,Consultant Lobbyist,"Votham Anastasiadis, Sydney McHale, Aileen Burke, Alexandra Carlile, Aaron Singleton, Pascal Ryffel, Shayne Saskiw, Lindsay Lahey, Zack Ziolkowski, James Johnson",Notice of Change,Archived,View 
2022-10-14,-,Alberta Counsel,Alberta Cattle Feeders' Association,Jonathon Wescott,"Alberta Labour and Immigration, Alberta Infrastructure, Alberta Jobs, Economy and Innovation, Alberta Municipal Affairs, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Transportation, Alberta Treasury Board and Finance",-,"Agriculture, Trade, Citizenship and Immigration, Municipal Affairs, Transportation, Infrastructure",CL-12519-02,Consultant Lobbyist,"Aaron Singleton, Zack Ziolkowski, James Johnson, Shayne Saskiw, Alexandra Carlile, Aileen Burke, Al Kemmere, Pascal Ryffel, Heather Feldbusch, Sydney McHale",Notice of Change,Archived,View 
2022-10-14,-,Cargill Limited,-,Jeff Vassart,"Alberta Labour and Immigration, Alberta Environment and Parks, Alberta Infrastructure, Executive Council, Alberta Jobs, Economy and Innovation, Alberta Municipal Affairs, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Transportation, Alberta Legislative Assembly, Premier's Office, Alberta Advanced Education",-,"Agriculture, Environment, Infrastructure, Labour Relations",OL-11345-08,Organization Lobbyist,"Liesel Meissner, David Anyanwu, Cynthia Lee, Jennifer Marchand",Semi-Annual Renewal,Archived,View 
2022-10-14,-,Alberta Counsel,Doula Association of Alberta,Jonathon Wescott,"Alberta Health, Alberta Legislative Assembly, Premier's Office",Alberta Health Services,Health,CL-12324-04,Consultant Lobbyist,"Heather Feldbusch, Alexandra Carlile, Zack Ziolkowski, Votham Anastasiadis, Aaron Singleton, Aileen Burke, Sydney McHale, Pascal Ryffel, Shayne Saskiw, James Johnson",Notice of Change,Archived,View 
2022-10-14,-,CNOOC Petroleum North America ULC,-,Feng Li,"Alberta Environment and Parks, Alberta Energy, Alberta Jobs, Economy and Innovation, Premier's Office",-,"Energy, Environment, Trade, Economic Development",OL-10375-49,Organization Lobbyist,"Michael J. Dlugan, Scott Chalker",Notice of Change,Archived,View 
2022-10-14,2022-10-31,Alberta Counsel,Municipal District of Bighorn,Jonathon Wescott,"Alberta Environment and Parks, Alberta Municipal Affairs",-,Land Use,CL-12686-03,Consultant Lobbyist,"Sydney McHale, Alexandra Carlile, Aaron Singleton, Votham Anastasiadis, Aileen Burke, Pascal Ryffel, Zack Ziolkowski, James Johnson, Shayne Saskiw, Heather Feldbusch",Notice of Change,Terminated,View 
