Filing Date,Termination Date,Organization,Client Name,Designated Filer,Government Department Lobbied,Prescribed Provincial Entity Lobbied,Subject Matter of Lobbying,Registration Number,Type of Lobbyist,Lobbyists,Type of Registration,Registration Status,View
2022-07-22,-,New West Public Affairs,Connecting Care,Monte Solberg,"Executive Council, Alberta Health, Alberta Legislative Assembly, Alberta Seniors and Housing, Premier's Office",Alberta Health Services,Seniors issues,CL-12822-01,Consultant Lobbyist,"Monte Solberg, Matt Solberg, Michael Solberg, Keith McLaughlin, Sonia Kont, Gordon Olsen, Sarah Painchaud, Fahreen Budwhani, Graham Gerein",Initial Return,Archived,View 
2022-07-22,-,Alberta Canola Producers Commission,-,Karla Bergstrom,"Alberta Environment and Parks, Alberta Labour and Immigration, Alberta Energy, Alberta Jobs, Economy and Innovation, Executive Council, Alberta Municipal Affairs, Service Alberta, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Education, Alberta Transportation, Alberta Treasury Board and Finance, Premier's Office, Alberta Advanced Education","Agriculture Financial Services Corporation, Alberta Agricultural Products Marketing Council","Climate, Agriculture, Trade, Environment, K-12 Education, Transportation",OL-10856-12,Organization Lobbyist,"Kamilla Sulikowski, Michelle Chunyua, Rick Taillieu, Karla Bergstrom, Brittany Hennig, Tara Baycroft, Aymie Haslam",Semi-Annual Renewal,Archived,View 
2022-07-21,-,Merck Canada Inc.,-,Marwan Akar,"Alberta Jobs, Economy and Innovation, Alberta Health",Alberta Health Services,"Health, Economic Development",OL-10476-21,Organization Lobbyist,"Sevag Sahakian, Heidi Waser, Lee Swift, Lonnie Kam, Wes Miyai, Chad Jarema, Jennifer Chan, Francois Farmer, Christopher Nicholls, Suresh Raj Ramadasan, Jeff Guiler",Notice of Change,Archived,View 
2022-07-21,-,Ovintiv Canada ULC,-,Corey Code,"Alberta Environment and Parks, Alberta Energy, Alberta Indigenous Relations, Alberta Municipal Affairs, Alberta Treasury Board and Finance, Premier's Office","Alberta Innovates, Alberta Energy Regulator","Energy, Climate, Taxes and Finance, Environment, Municipal Affairs, Indigenous Relations, Economic Development, Wildlife",OL-10288-45,Organization Lobbyist,"Jason Blanch, Jennifer Blaney, Daniel Dunlop, Marawan ElSayed, Parmjeet Virdee, Paul Giesbrecht, David Lye, Brendan McCracken, Kellen Foreman",Semi-Annual Renewal,Archived,View 
2022-07-20,2022-09-21,Premier Tech Ltée,-,Jean Belanger,Alberta Environment and Parks,-,Agriculture,OL-10403-23,Organization Lobbyist,"Mark Murphy, Marc Béland, Yann Le Moullec, Stéphane Bellefleur, Michel Lemieux, Raphaëlle Morin-Blais, Martine Séguin, Régis Michaud, Jean Bélanger, Sandro Bertossi, Claude Morasse, Bernard Bélanger, Martin Pelletier, Ghislain Levesque, Jonathan Marquis, Mathieu Trudel, Manon Sirois, Patrice G.Duguay, Nicolas Robitaille, Christian Noel, Claude J. Gobeil, Yves Goudreau, Sophie Clavelier",Notice of Change,Terminated,View 
2022-07-18,-,Premier Tech Ltée,-,Jean Belanger,Alberta Environment and Parks,-,Agriculture,OL-10403-22,Organization Lobbyist,"Mark Murphy, Marc Béland, Yann Le Moullec, Stéphane Bellefleur, Michel Lemieux, Raphaëlle Morin-Blais, Martine Séguin, Régis Michaud, Jean Bélanger, Sandro Bertossi, Claude Morasse, Bernard Bélanger, Martin Pelletier, Ghislain Levesque, Jonathan Marquis, Mathieu Trudel, Manon Sirois, Patrice G.Duguay, Nicolas Robitaille, Christian Noel, Claude J. Gobeil, Yves Goudreau, Sophie Clavelier",Notice of Change,Archived,View 
2022-07-18,-,StrategyCorp Inc.,Quebecor Media Inc.,John Matheson,"Service Alberta, Alberta Jobs, Economy and Innovation, Executive Council, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office",-,Telecommunications,CL-12318-05,Consultant Lobbyist,Garry Keller,Notice of Change,Archived,View 
2022-07-18,-,De Paoli & Associates Inc.,Alberta Greenhouse Growers Association,Anna De Paoli,"Alberta Labour and Immigration, Alberta Environment and Parks, Alberta Energy, Alberta Municipal Affairs, Alberta Agriculture, Forestry and Rural Economic Development",-,"Energy, Agriculture, Environment, Labour Relations",CL-10286-16,Consultant Lobbyist,Anna De Paoli,Notice of Change,Archived,View 
2022-07-18,2022-08-08,Wellington Advocacy Inc.,PointClickCare Technologies Inc.,Nick Koolsbergen,"Alberta Jobs, Economy and Innovation, Alberta Health, Premier's Office",Alberta Health Services,Science and Technology,CL-12675-03,Consultant Lobbyist,"Peter Csillag, Brad Tennant, Matt de Jong",Notice of Change,Terminated,View 
2022-07-18,-,Wellington Advocacy Inc.,Enbridge Inc,Nick Koolsbergen,"Alberta Environment and Parks, Alberta Labour and Immigration, Alberta Energy, Alberta Jobs, Economy and Innovation, Alberta Indigenous Relations, Alberta Municipal Affairs, Executive Council, Alberta Health, Alberta Treasury Board and Finance, Premier's Office","Alberta Petroleum Marketing Commission, Alberta Energy Regulator, Invest Alberta Corporation","Energy, Health, Environment, Indigenous Relations, Municipal Affairs, Labour Relations",CL-11794-08,Consultant Lobbyist,"Trisha Rinneard, Brad Tennant, Nick Koolsbergen",Notice of Change,Archived,View 
2022-07-18,-,Sun Life Financial,-,Kevin Strain,"Alberta Jobs, Economy and Innovation, Alberta Health, Alberta Treasury Board and Finance, Premier's Office","Alberta Health Services, Alberta Innovates","Insurance, Health, Banks and Other Financial Institutions",OL-10943-17,Organization Lobbyist,"Marianne Nguyen, Alanna Boyd, Victor Gomez, Jessica Brcko, Ali Salam, Laura Hewitt",Notice of Change,Archived,View 
2022-07-15,-,Air Products Canada Ltd.,-,Francesco Maione,"Alberta Environment and Parks, Alberta Infrastructure, Alberta Energy, Executive Council, Alberta Jobs, Economy and Innovation, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office","Alberta Energy Regulator, Invest Alberta Corporation","Taxes and Finance, Energy, Environment, Intergovernmental Relations, Infrastructure, Economic Development",OL-12267-04,Organization Lobbyist,"Jessica Lof, Rachel Smith, Peter L. Snyder, Miles Heller, Hasin Haroon",Notice of Change,Archived,View 
2022-07-15,-,Imperial Oil Ltd.,-,Brad Corson,"Alberta Labour and Immigration, Alberta Environment and Parks, , Alberta Energy, Executive Council, Alberta Jobs, Economy and Innovation, Alberta Municipal Affairs, Alberta Indigenous Relations, Alberta Health, Alberta Legislative Assembly, Premier's Office",Alberta Energy Regulator,"Health, Climate, Energy, Environment, Municipal Affairs, Indigenous Relations, Wildlife, Labour Relations",OL-10352-32,Organization Lobbyist,"Sherri Evers, Doug Wilkins, Jaclyn Mersereau, Ryan Levins, Ayan Chakraborty, Simon Younger, Jessica Pickel, Brad Corson, Jennifer Haverhals, Dean Bruce, Andrew Yates, Anita Remartinez, Jaffar Naqi, Kevin Burke-Gaffney, James Kusie, Stuart Lunn, Terry Matthews, Karine Belanger, Melissa Wade, Keri Abel, Leanne Young, Susan Nakagawa, Tyler Colberg, Sherry Becker, James Dunn, Kim Fox, Myles Fox, James Guthrie, Alison Miller, Lori Neufeld, Peter Noble, Alicja Pawlak, Andre Perrone, Karl Pierzchajlo, Helga Shield, Keith Tanner, Carolyn Tester, Paul Cavanagh, Rosa Fiorentino, Amanda Schiaroli, Jon Wetmore, Heather Burkett, Jeff Wilson, Daniel P. Dubois, Brad Porter, Caryn Liberman, Rita Karrel, Sean Mercer, Reagen Stoddart",Notice of Change,Archived,View 
2022-07-15,-,ENMAX Corporation,-,Charles Ruigrok,"Alberta Energy, Executive Council, Service Alberta, Alberta Health, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office","Alberta Utilities Commission, Alberta Innovates, Alberta Electric System Operator, Balancing Pool, Market Surveillance Administrator, Invest Alberta Corporation","Energy, Consumer Issues, Environment",OL-10279-62,Organization Lobbyist,"Charles Ruigrok, Erica Young, Randall Stubbings, Mark McGillivray, Chris McCleave, Chris Joy, Timothy Boston, Sarah Stevens, Terri-Lynn Duque, Jana Mosley, Bruce Borwick, Shiv Kumar, Tracy Coutts, Rose Ferrer, Sheizana Murji, Greg Retzer, Janene Taylor",Notice of Change,Archived,View 
2022-07-15,-,TC Energy Corporation,-,Francois Poirier,"Alberta Environment and Parks, Alberta Infrastructure, Alberta Energy, Alberta Jobs, Economy and Innovation, Service Alberta, Alberta Municipal Affairs, Executive Council, Alberta Indigenous Relations, Alberta Transportation, Alberta Treasury Board and Finance, Premier's Office","Alberta Utilities Commission, Alberta Health Services, Alberta Innovates, Alberta Energy Regulator, Alberta Electric System Operator, Market Surveillance Administrator","Energy, Health, Procurement, Environment, Municipal Affairs, Indigenous Relations, Wildlife, Transportation",OL-10499-51,Organization Lobbyist,"Omar Khayum, Andrew Isherwood, Karla Palardy, Corey Hessen, Ryan Laverty, Patrick Muttart, Sheldon Good, Mark Blundell, Joe Zhou, Bevin Wirzba, Jawad Masud, Ken Brink, Jay White, Richard Prior, Mark Thompson, Francois Poirier, Blaine Trout, Alex Harris, Tisha Homer, Holly Waldorf, Kristin Anderson, Fareen Sunderji, Christopher Vivone, Duane Alexander, Julia Jensen, Luke Meredith, Lindsay MacKay, Graeme Wright, Greg Grant, Wade Pruett, Stefan Skocylas, Timothy Lam, Mel Garner, Ana Maria Radu, Wendell Klassen, Kirk Wasylik, Robert Tarvydas, Patrick Keys, Michael Schmaltz, Keith Nelson, Riley Baldwin, Dave Forestell",Notice of Change,Archived,View 
2022-07-15,-,Canadian Association of Petroleum Producers,-,Lisa Baiton,"Alberta Environment and Parks, Alberta Labour and Immigration, , Alberta Energy, Alberta Indigenous Relations, Alberta Municipal Affairs, Executive Council, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Justice and Solicitor General, Alberta Legislative Assembly, Alberta Transportation, Alberta Treasury Board and Finance, Premier's Office","Alberta Innovates, Workers’ Compensation Board, Alberta Energy Regulator","Energy, Climate, Health, Royalties, Taxes and Finance, Land Use, Justice and Law Enforcement, Environment, Municipal Affairs, Indigenous Relations, Transportation, Economic Development, Wildlife, Labour Relations",OL-10227-56,Organization Lobbyist,"Greig Sproule, Jay Averill, Jonathan Stringham, Aaron Miller, Krista Phillips, Patrick McDonald, Richard Wong, Brad Herald, Giles Ody, Bryan Remillard, Claudette Fedoruk, Amberly Dooley, Markus Ermisch, Don McCrimmon, Shannon Joseph, Cole Schulz, Tara Payment, David Hume, Stephen Bresee, Paul Hartzheim, Tricia Donnelly, Lisa Baiton, J.C. Vito, Fauziah Rochman, Rob Kopecky",Notice of Change,Archived,View 
2022-07-14,-,ConocoPhillips Canada Resources Corp.,-,Bijan Agarwal,"Alberta Environment and Parks, Alberta Energy, Alberta Municipal Affairs, Alberta Jobs, Economy and Innovation, Alberta Treasury Board and Finance, Premier's Office","Alberta Petroleum Marketing Commission, Alberta Energy Regulator","Energy, Climate, Environment, Municipal Affairs",OL-10099-32,Organization Lobbyist,"Tyler Blasetti, James Makowecki, Devin O'Neal, Gunnar Johnsen, Bijan Agarwal, Charlotte Plombin, Chris Malkin, Rickie-Lee Doyle, Peter Koning, Kim Iverson, Robert Albricht, Fred Walter, Jeff Gow, Cary Allan, Jodi Prior",Notice of Change,Archived,View 
2022-07-13,-,AstraZeneca Canada Inc.,-,Kiersten Combs,"Alberta Jobs, Economy and Innovation, Executive Council, Alberta Health, Premier's Office","University of Alberta, Alberta Health Services, Alberta Innovates",Health,OL-10417-22,Organization Lobbyist,"Jo-Ann Stuart-Chatterley, Kevin McGuire, Ilias Iliopoulos, Mo Amin, Noel Saraza, Kiersten Combs, Jon Feairs, Gena Restivo",Notice of Change,Archived,View 
2022-07-13,-,Canadian Medical Association,-,Timothy Smith,"Alberta Labour and Immigration, Executive Council, Alberta Justice and Solicitor General, Alberta Health, Alberta Legislative Assembly, Premier's Office",-,"Health, Justice and Law Enforcement",OL-10605-20,Organization Lobbyist,"Romeo Tello, Karey Shuhendler, Elena Gabrysz, Eric Lewis, Dr. Katharine Smart, Marie-Claire Bedard, Jasmine Neeson, Philippe Ha, Dr. Ann Collins, Ashley Chisholm, Caroline Bouchard, Jennifer Kitts, Azin Peyrow, Manon Abud, Julie Aung, Owen Adams, Aline Gagnon, Cecile Bensimon, Stephen Vail, Audrey Grandmaison, John Feeley, Luce Lavoie, Tim Smith, Anick Losier, Nick Farinaccio, Dr. Jeff Blackmer, Pascal Charron, Kristin Smith, Joseph Mayer, Nick Lecuyer, Dr. Alika Lafontaine, Louise Sweatman",Semi-Annual Renewal,Archived,View 
2022-07-13,-,New West Public Affairs,NOTARIUS Inc.,Monte Solberg,"Alberta Environment and Parks, Alberta Infrastructure, Alberta Energy, Alberta Jobs, Economy and Innovation, Alberta Indigenous Relations, Alberta Municipal Affairs, Executive Council, Service Alberta, Alberta Culture and Status of Women, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Justice and Solicitor General, Alberta Health, Alberta Legislative Assembly, Alberta Transportation, Premier's Office",-,Science and Technology,CL-12394-04,Consultant Lobbyist,"Graham Gerein, Gordon Olsen, Sonia Kont, Michael Solberg, Sarah Painchaud, Keith McLaughlin, Matt Solberg, Monte Solberg, Fahreen Budwhani",Notice of Change,Archived,View 
2022-07-13,-,Cenovus Energy Inc.,-,Alex Pourbaix,"Alberta Environment and Parks, Alberta Labour and Immigration, Alberta Infrastructure, Alberta Energy, Executive Council, Alberta Jobs, Economy and Innovation, Alberta Municipal Affairs, Alberta Indigenous Relations, Alberta Justice and Solicitor General, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Legislative Assembly, Alberta Transportation, Alberta Treasury Board and Finance, Premier's Office, Alberta Advanced Education","Alberta Utilities Commission, Alberta Petroleum Marketing Commission, Alberta Energy Regulator, Alberta Electric System Operator","Energy, Taxes and Finance, Environment, Indigenous Relations, Municipal Affairs, Workplace Safety, Infrastructure, Labour Relations",OL-10248-26,Organization Lobbyist,"Andrea Louise-Martyn, Morgan Wrishko, Jon McKenzie, Tyler Tarnoczi, Jim Lytle, Scott Hillier, Tony Jackson, Claire Hong, Chris Moody, Prince Azom, Patrick McKay, Amos Ben-Zvi, Keith Chiasson, Shelley Machon, Shane Cooke, Darwin Bateyko, Charles Gobin, Mike Plettel, Suzanne Smith, Susan Grey, Rhona DelFrari, Ray Lambert, Travis Davies, Anamika Mukherjee, Shannon McDougall, Jennifer Shalagan, Troy Peterson, Brett Wiens, Sherry Wendt, Michele Waters, Eric Wakley, Michael Penner, Sean Hiebert, Gary Molnar, Geoff Murray, Brooke Lindsey, Jillian Falls, Michael Wilson, Kam Sandhar, Jared Robertson, Greg Cave, Jamie Agnew, Ted Johnson, Michael Cody, Grant Pellegrin, Lindsay Reynolds, Drew Zieglgansberger, Kendall Dilling, Trent Zacharias, Andrew Straile, Jeff Jeworski, Norrie Ramsay, Sam Murphy, Alisha Bhura, Owen Henshaw, Devin Iversen, Sharla Howard, Jeff Nail, Jessica Player, Alex Pourbaix",Semi-Annual Renewal,Archived,View 
2022-07-13,-,The Explorers and Producers Association of Canada,-,Tristan Goodman,"Alberta Environment and Parks, Alberta Energy, Alberta Indigenous Relations, Alberta Municipal Affairs",Alberta Energy Regulator,"Energy, Environment, Indigenous Relations, Municipal Affairs",OL-10468-14,Organization Lobbyist,"Chris Montgomery, Tristan Goodman, Gordon Tait, Michael Fulsom, Jennifer Paterson",Notice of Change,Archived,View 
2022-07-12,-,Global Public Affairs,Alberta Enterprise Corporation,Randy Pettipas,"Alberta Jobs, Economy and Innovation, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Alberta Advanced Education",-,Economic Development,CL-12810-01,Consultant Lobbyist,"Matt Williamson, Yonathan Sumamo, Jason Ennis, Pierre Alvarez, Melissa Carvalho",Initial Return,Archived,View 
2022-07-12,-,Medtronic Canada ULC,-,Sheri Dodd,Alberta Health,Alberta Health Services,Health,OL-11040-10,Organization Lobbyist,"Benjamin Spackman, John Fedirko, Jason Rudd, Abhishek Chaudhary, Neil Fraser, Martin Butler, Jessica Rudd, Jeff Scarborough, Jill Pike, Sean Murphy, Brian McQuaker, Eric Filion",Semi-Annual Renewal,Archived,View 
2022-07-12,-,Association of Professional Engineers and Geoscientists of Alberta,-,Jay Nagendran,Alberta Labour and Immigration,-,Trades and Occupations,OL-10381-33,Organization Lobbyist,"Jay Nagendran, Nancy Biamonte, Enayat Aminzadah, Dianne Johnstone, Mohamed El Daly, John Corriveau, Gabrielle Abernethy",Notice of Change,Archived,View 
2022-07-11,2022-10-01,Counsel Public Affairs Inc.,Tourmaline Oil Corp.,Philip Dewan,"Alberta Energy, Executive Council, Alberta Jobs, Economy and Innovation, Alberta Municipal Affairs, Premier's Office",Alberta Energy Regulator,"Energy, Environment, Municipal Affairs",CL-12055-18,Consultant Lobbyist,"T.J. Keil, Brad Lavigne",Notice of Change,Terminated,View 
2022-07-11,-,Counsel Public Affairs Inc.,Emergent BioSolutions Canada Inc. (formerly Adapt Pharma Canada Ltd.),Philip Dewan,"Alberta Labour and Immigration, Alberta Environment and Parks, Alberta Infrastructure, Alberta Children’s Services, Alberta Energy, Service Alberta, Executive Council, Alberta Jobs, Economy and Innovation, Alberta Community and Social Services, Alberta Indigenous Relations, Alberta Municipal Affairs, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Health, Alberta Justice and Solicitor General, Alberta Education, Alberta Culture and Status of Women, Alberta Transportation, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Alberta Advanced Education, Premier's Office, Alberta Seniors and Housing",-,Health,CL-11418-12,Consultant Lobbyist,"T.J. Keil, Bradley Lavigne",Notice of Change,Archived,View 
2022-07-11,-,Counsel Public Affairs Inc.,Innovative Medicines Canada,Philip Dewan,"Alberta Jobs, Economy and Innovation, Executive Council, Alberta Health, Alberta Treasury Board and Finance",Alberta Health Services,"Budget, Health, Procurement, Research and Development, Intergovernmental Relations, Economic Development",CL-12506-04,Consultant Lobbyist,T.J. Keil,Notice of Change,Archived,View 
2022-07-11,-,Counsel Public Affairs Inc.,Athabasca Chipewyan First Nation,Philip Dewan,"Alberta Environment and Parks, Alberta Energy, Executive Council, Alberta Indigenous Relations, Alberta Municipal Affairs, Alberta Jobs, Economy and Innovation, Alberta Health, Alberta Justice and Solicitor General, Alberta Culture and Status of Women, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office, Alberta Advanced Education",Alberta Energy Regulator,"Health, Arts and Culture, Justice and Law Enforcement, Environment, Municipal Affairs, Indigenous Relations, K-12 Education",CL-11070-14,Consultant Lobbyist,T.J. Keil,Notice of Change,Archived,View 
2022-07-11,-,Counsel Public Affairs Inc.,Canadian Battery Association,Philip Dewan,"Alberta Environment and Parks, Alberta Energy",-,Environment,CL-12532-04,Consultant Lobbyist,T.J. Keil,Notice of Change,Archived,View 
2022-07-08,-,Earnscliffe Strategy Group,The Railway Association of Canada,Velma McColl,"Alberta Environment and Parks, Alberta Labour and Immigration, Alberta Infrastructure, Alberta Indigenous Relations, Alberta Jobs, Economy and Innovation, Alberta Municipal Affairs, Executive Council, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Legislative Assembly, Alberta Transportation, Alberta Treasury Board and Finance, Premier's Office",-,Transportation,CL-12808-01,Consultant Lobbyist,Bailey Stafford,Initial Return,Archived,View 
2022-07-08,-,"Amazon Canada Fulfillment Services, ULC",-,Sumegha Kumar,"Alberta Jobs, Economy and Innovation, Alberta Municipal Affairs, Alberta Transportation, Alberta Legislative Assembly, Premier's Office",-,"Arts and Culture, Transportation, Economic Development",OL-11094-09,Organization Lobbyist,"James Maunder, Allison Gifford, Thoren Hudyma, Brook Simpson",Notice of Change,Archived,View 
2022-07-08,-,Prairie Sky Enterprises Ltd. (Prairie Sky Strategy),Surgical Centres Inc.,Jeff Sterzuk,Alberta Health,Alberta Health Services,Health,CL-12801-01,Consultant Lobbyist,"Richard Truscott, Rick Fraser, Jeff Sterzuk",Initial Return,Archived,View 
2022-07-07,-,Capilano Policy Group Inc.,Avanti Energy Inc.,Richard Dunn,"Alberta Energy, Alberta Treasury Board and Finance",-,Mining,CL-12805-01,Consultant Lobbyist,Richard Dunn,Initial Return,Archived,View 
2022-07-07,-,New West Public Affairs,Delta Waterfowl,Monte Solberg,"Alberta Environment and Parks, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Legislative Assembly, Premier's Office",-,Environment,CL-12806-01,Consultant Lobbyist,"Matt Solberg, Michael Solberg, Keith McLaughlin, Sonia Kont, Sarah Painchaud, Monte Solberg, Gordon Olsen, Graham Gerein, Fahreen Budhwani",Initial Return,Archived,View 
2022-07-07,-,TC Energy Corporation,-,Francois Poirier,"Alberta Environment and Parks, Alberta Infrastructure, Alberta Energy, Alberta Indigenous Relations, Alberta Jobs, Economy and Innovation, Executive Council, Service Alberta, Alberta Municipal Affairs, Alberta Transportation, Alberta Treasury Board and Finance, Premier's Office","Alberta Utilities Commission, Alberta Health Services, Alberta Innovates, Alberta Energy Regulator, Alberta Electric System Operator, Market Surveillance Administrator","Energy, Health, Procurement, Environment, Indigenous Relations, Municipal Affairs, Transportation, Wildlife",OL-10499-50,Organization Lobbyist,"Dave Forestell, Riley Baldwin, Keith Nelson, Michael Schmaltz, Patrick Keys, Robert Tarvydas, Kirk Wasylik, Wendell Klassen, Ana Maria Radu, Mel Garner, Timothy Lam, Stefan Skocylas, Wade Pruett, Greg Grant, Graeme Wright, Lindsay MacKay, Luke Meredith, Julia Jensen, Duane Alexander, Christopher Vivone, Fareen Sunderji, Kristin Anderson, Holly Waldorf, Tisha Homer, Alex Harris, Blaine Trout, Francois Poirier, Mark Thompson, Richard Prior, Jay White, Ken Brink, Jawad Masud, Bevin Wirzba, Joe Zhou, Mark Blundell, Sheldon Good, Patrick Muttart",Notice of Change,Archived,View 
2022-07-06,-,Enterprise Canada Inc.,IBM Canada Limited,Barbara Fox,"Alberta Environment and Parks, Alberta Labour and Immigration, Alberta Infrastructure, Alberta Children’s Services, Alberta Energy, Service Alberta, Alberta Community and Social Services, Executive Council, Alberta Indigenous Relations, Alberta Municipal Affairs, Alberta Jobs, Economy and Innovation, Alberta Culture and Status of Women, Alberta Education, Alberta Health, Alberta Justice and Solicitor General, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Transportation, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Alberta Advanced Education, Alberta Seniors and Housing, Premier's Office","Alberta Health Services, Alberta Gaming, Liquor and Cannabis Commission, Alberta Indigenous Opportunities Corporation","Procurement, Research and Development",CL-11831-09,Consultant Lobbyist,"Steven McLelan, Erika Barootes",Notice of Change,Archived,View 
2022-07-06,-,Enterprise Canada Inc.,Public Business Accountants' Society of Alberta,Barbara Fox,"Alberta Labour and Immigration, Service Alberta, Alberta Justice and Solicitor General, Alberta Treasury Board and Finance",-,Labour Relations,CL-12601-02,Consultant Lobbyist,"Erika Barootes, Steven McLelan",Notice of Change,Archived,View 
2022-07-06,-,Enterprise Canada Inc.,Calgary Drop-In Centre,Barbara Fox,"Alberta Children’s Services, Alberta Community and Social Services, Alberta Culture and Status of Women, Alberta Health, Alberta Legislative Assembly, Alberta Seniors and Housing",-,Health,CL-12319-04,Consultant Lobbyist,"Steven McLelan, Erika Barootes",Notice of Change,Archived,View 
2022-07-06,-,ATCO Ltd.,-,Nancy Southern,"Alberta Energy, Alberta Municipal Affairs, Service Alberta, Alberta Health, Alberta Treasury Board and Finance, Premier's Office",-,"Utilities, Municipal Affairs",OL-10215-19,Organization Lobbyist,"Nick Sealy-Thompson, James Landon, Roger Mazankowski, Dale Friesen, Jason Sharpe, Brian Shkrobot, Robert Myles, Melanie Bayley, Nancy C. Southern, Katherine-Jane Patrick, Robert Jones",Semi-Annual Renewal,Archived,View 
2022-07-06,-,Enterprise Canada Inc.,Town of Gibbons,Barbara Fox,"Alberta Infrastructure, Executive Council, Alberta Municipal Affairs, Alberta Transportation, Alberta Legislative Assembly, Premier's Office",-,Economic Development,CL-11791-05,Consultant Lobbyist,"Erika Barootes, Steven McLelan",Notice of Change,Archived,View 
2022-07-06,2022-07-31,Enterprise Canada Inc.,Syngenta Canada Inc.,Barbara Fox,"Alberta Environment and Parks, Alberta Agriculture, Forestry and Rural Economic Development",-,Agriculture,CL-11517-06,Consultant Lobbyist,"Steven McLelan, Erika Barootes",Notice of Change,Terminated,View 
2022-07-06,-,Enterprise Canada Inc.,Shoppers Drug Mart,Barbara Fox,"Executive Council, Alberta Health, Alberta Justice and Solicitor General, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office",-,Health,CL-11266-08,Consultant Lobbyist,"Nathan Clark, Erika Barootes, Steven McLelan",Notice of Change,Archived,View 
2022-07-06,-,Enterprise Canada Inc.,North York Rehabilitation Centre Corp.,Barbara Fox,"Executive Council, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office",-,Insurance,CL-11921-05,Consultant Lobbyist,"Erika Barootes, Steven McLelan",Notice of Change,Archived,View 
2022-07-06,-,Enterprise Canada Inc.,Labatt Brewing Company Limited,Barbara Fox,"Alberta Municipal Affairs, Executive Council, Alberta Jobs, Economy and Innovation, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Treasury Board and Finance, Premier's Office","Alberta Gaming, Liquor and Cannabis Commission","Taxes and Finance, Economic Development",CL-11644-05,Consultant Lobbyist,"Erika Barootes, Steven McLelan",Notice of Change,Archived,View 
2022-07-06,-,Enterprise Canada Inc.,Purolator Inc.,Barbara Fox,"Alberta Infrastructure, Alberta Municipal Affairs, Alberta Transportation, Premier's Office",-,Transportation,CL-12090-05,Consultant Lobbyist,"Steven McLelan, Erika Barootes",Notice of Change,Archived,View 
2022-07-05,-,Global Public Affairs,Eisai Limited (Eisai Canada),Randy Pettipas,"Executive Council, Alberta Health, Alberta Legislative Assembly",-,Health,CL-12803-01,Consultant Lobbyist,"Farid Foroud, Thanh Ngo, Glenn Monteith",Initial Return,Archived,View 
2022-07-05,2022-09-29,Global Public Affairs,The Town of Okotoks,Randy Pettipas,"Alberta Environment and Parks, Alberta Municipal Affairs, Alberta Transportation, Alberta Legislative Assembly, Premier's Office",-,Transportation,CL-12761-02,Consultant Lobbyist,"Jordan Pinkster, Melissa Carvalho, Paul Whittaker, Yonathan Sumamo",Notice of Change,Terminated,View 
2022-07-05,-,Crestview Strategy,Alberta Medical Association,Chad Rogers,"Alberta Health, Alberta Legislative Assembly",-,Health,CL-11660-13,Consultant Lobbyist,"Nour Fahmy, Frank Parker, Mira Ahmad",Notice of Change,Archived,View 
2022-07-05,-,Jangula and Company,Coalition of Canadian Independent Craft Brewers,Craig Jangula,"Alberta Jobs, Economy and Innovation, Executive Council, Alberta Legislative Assembly, Alberta Treasury Board and Finance, Premier's Office","Alberta Gaming, Liquor and Cannabis Commission","Taxes and Finance, Liquor, Trade, Intergovernmental Relations",CL-10652-16,Consultant Lobbyist,Craig Jangula,Notice of Change,Archived,View 
2022-07-04,-,Wellington Advocacy Inc.,PURE Canadian Gaming Corp.,Nick Koolsbergen,"Executive Council, Alberta Treasury Board and Finance, Premier's Office","Alberta Gaming, Liquor and Cannabis Commission, Invest Alberta Corporation",Gaming,CL-12501-08,Consultant Lobbyist,"Nick Koolsbergen, Peter Csillag, Matt de Jong",Notice of Change,Archived,View 
2022-07-04,2022-08-17,BCE Inc.,-,Mirko Bibic,"Alberta Jobs, Economy and Innovation, Service Alberta, Executive Council, Alberta Education, Alberta Agriculture, Forestry and Rural Economic Development, Alberta Treasury Board and Finance, Alberta Advanced Education, Premier's Office",-,Telecommunications,OL-10203-15,Organization Lobbyist,"Dwayne Wardrop, Andrew Compton, Bill Severs, Tom Little, Dan McDonald, Andrew Parkinson, Jeremy Wubs, Gary Semplonius, Lisa McDonald, Ryan Klassen",Semi-Annual Renewal,Terminated,View 
